location,date,total_count
BART,2014-06,1106
BART,2014-07,741
BART,2014-08,72
BART,2014-09,28
BART,2016-04,29.0
BART,2016-05,65.0
BART,2016-06,538
BART,2016-07,342.0
BART,2016-08,73.0
BART,2016-09,82.0
BART,2016-10,1.0
BART,2016-11,0.0
BART,2017-04,1
BART,2017-05,155.0
BART,2017-06,2767
BART,2017-07,600.0
BART,2017-08,466.0
BART,2017-09,110.0
BART,2017-10,3.0
BART,2017-11,0.0
BART,2018-05,466
BART,2018-06,1634
BART,2018-07,85.0
BART,2018-08,26.0
BART,2018-09,32
BART,2018-10,5
BART,2018-11,0.0
BART,2019-05,0.0
BART,2019-06,4299
BART,2019-07,1577
BART,2019-08,501
BART,2019-09,67
BART,2019-10,0.0
BART,2019-11,0.0
BART,2020-03,0.0
BART,2020-04,0.0
BART,2020-05,0.0
BART,2020-06,0.0
BART,2020-08,139.0
BART,2020-09,26.0
BART,2020-10,0.0
BART,2020-11,0.0
BART,2020-12,0.0
BART,2021-04,12
BART,2021-05,0.0
BART,2021-06,464
BART,2021-07,219
BART,2021-08,76.0
BART,2021-09,84.0
BART,2021-10,0.0
HARV,2014-05,328
HARV,2014-06,6591
HARV,2014-07,14400
HARV,2014-08,8058
HARV,2014-09,807
HARV,2014-10,135
HARV,2016-03,18.0
HARV,2016-04,19.0
HARV,2016-05,1449
HARV,2016-06,4919
HARV,2016-07,10268
HARV,2016-08,3783
HARV,2016-09,396.0
HARV,2016-10,28.0
HARV,2016-11,0.0
HARV,2017-03,0.0
HARV,2017-04,4
HARV,2017-05,2016.0
HARV,2017-06,4211
HARV,2017-07,5410
HARV,2017-08,3248
HARV,2017-09,753
HARV,2017-10,115.0
HARV,2017-11,1
HARV,2018-04,0.0
HARV,2018-05,1808
HARV,2018-06,4972
HARV,2018-07,6442
HARV,2018-08,2115
HARV,2018-09,2062
HARV,2018-10,144.0
HARV,2018-11,33
HARV,2019-03,0.0
HARV,2019-04,0.0
HARV,2019-05,497.0
HARV,2019-06,2855
HARV,2019-07,6469
HARV,2019-08,3409
HARV,2019-09,295
HARV,2019-10,38.0
HARV,2019-11,0.0
HARV,2020-03,3
HARV,2020-04,0.0
HARV,2020-05,0.0
HARV,2020-06,0.0
HARV,2020-07,3807
HARV,2020-08,672
HARV,2020-09,84.0
HARV,2020-10,1.0
HARV,2020-11,1.0
HARV,2020-12,0.0
HARV,2021-03,5
HARV,2021-04,9
HARV,2021-05,263.0
HARV,2021-06,4281
HARV,2021-07,3382
HARV,2021-08,2696
HARV,2021-09,711
HARV,2021-10,190.0
BLAN,2015-05,100.0
BLAN,2015-06,78
BLAN,2015-07,108.0
BLAN,2015-08,59.0
BLAN,2015-09,9
BLAN,2015-10,283.0
BLAN,2015-11,9.0
BLAN,2016-04,10
BLAN,2016-05,15.0
BLAN,2016-06,103.0
BLAN,2016-07,30.0
BLAN,2016-08,68.0
BLAN,2016-09,51
BLAN,2016-10,19.0
BLAN,2016-11,21.0
BLAN,2017-03,4
BLAN,2017-04,8
BLAN,2017-05,226.0
BLAN,2017-06,179.0
BLAN,2017-07,661.0
BLAN,2017-08,229.0
BLAN,2017-09,65.0
BLAN,2017-10,36
BLAN,2017-11,0.0
BLAN,2017-12,0.0
