location,date,decimalLatitude,decimalLongitude,mean_wind_speed_1,mean_wind_speed_5,mean_wind_speed_16,mean_wind_speed_22,mean_wind_speed_30,mean_pres,mean_humid,mean_shortRad,mean_temp,mean_precip,total_count,total_rate
HARV,2016/5,42.53691,-72.17265,0.233666667,0.533333333,0.679666667,nan,2.095,97.26306233,68.298,216.2723333,21.63375714,nan,1449,0
HARV,2016/6,42.53691,-72.17265,0.138965517,0.380344828,0.386470588,nan,2.009310345,97.15945931,66.46482759,274.9189655,17.9915,nan,4919,0
HARV,2016/7,42.53691,-72.17265,0.124333333,0.352,nan,nan,1.764,97.32475833,72.10833333,257.5916667,21.48092,nan,10268,0
HARV,2016/8,42.53691,-72.17265,0.115666667,0.339310345,0.298333333,nan,1.755714286,97.61842483,75.12,235.7977778,21.78630741,nan,3783,0
HARV,2016/9,42.53691,-72.17265,0.145384615,0.371923077,0.343333333,nan,1.82037037,97.8812275,72.37928571,181.4462963,16.83484444,nan,396,0
HARV,2017/5,42.53691,-72.17265,0.239666667,0.529666667,0.663,1.152666667,2.765714286,97.06201833,71.28966667,182.8593333,11.47382667,4.68,2016,0
HARV,2017/6,42.53691,-72.17265,0.158965517,0.406,0.37,0.752413793,nan,97.18491172,68.5937931,238.5086207,17.87230345,3.625862069,4211,0
HARV,2017/7,42.53691,-72.17265,0.126333333,0.345,0.303333333,0.57,nan,97.405674,73.27933333,225.877,19.46485667,1.731666667,5410,0
HARV,2017/8,42.53691,-72.17265,0.111,0.332,0.287,0.554,1.623793103,97.63683467,72.214,219.249,18.72284333,2.199333333,3248,0
HARV,2017/9,42.53691,-72.17265,0.136551724,0.386896552,0.351034483,0.697586207,1.917931034,97.62938448,75.85551724,163.4892593,17.5266069,2.293103448,753,0
HARV,2017/10,42.53691,-72.17265,0.182857143,0.433,0.424333333,0.798,2.040333333,97.79548667,74.76033333,119.5083333,13.54517333,6.850333333,115,0
HARV,2018/5,42.53691,-72.17265,0.221176471,0.485,0.561666667,0.986,1.982666667,97.62545533,nan,227.692,15.58267333,0.213333333,1808,0
HARV,2018/6,42.53691,-72.17265,0.14,0.39,0.335517241,0.687931034,1.915172414,97.35645828,nan,251.6655172,17.16600345,4.549655172,4972,0
HARV,2018/7,42.53691,-72.17265,0.122,0.344333333,0.293666667,0.588333333,1.716333333,97.87616233,nan,265.7776667,21.50588333,4.437,6442,0
HARV,2018/8,42.53691,-72.17265,0.113,0.319333333,0.269666667,0.524,1.593,97.63915667,70.12,195.213,20.89488667,6.455666667,2115,0
HARV,2018/9,42.53691,-72.17265,0.132413793,0.343793103,0.292413793,0.594827586,1.669655172,98.05416207,83.03482759,142.8617241,16.62417586,6.715517241,2062,0
HARV,2018/10,42.53691,-72.17265,0.188666667,0.419333333,0.394,0.76,2.021666667,97.37802667,80.86033333,93.85533333,8.158313333,2.602333333,144,0
HARV,2019/5,42.53691,-72.17265,0.246333333,0.521666667,0.721333333,1.053,nan,97.24251333,72.552,193.0893333,11.50794333,2.478333333,497,0
HARV,2019/6,42.53691,-72.17265,0.154137931,0.375517241,0.35862069,0.512857143,1.795384615,97.17709483,70.02724138,246.7068966,17.74422414,3.135862069,2855,0
HARV,2019/7,42.53691,-72.17265,0.111666667,0.329333333,0.289333333,0.509,1.535,97.365158,70.99,266.6976667,22.13144667,3.153666667,6469,0
HARV,2019/8,42.53691,-72.17265,0.114333333,0.318666667,0.285666667,0.520666667,1.573,97.38230167,74.76233333,232.648,19.36616333,2.263666667,3409,0
HARV,2019/9,42.53691,-72.17265,0.13137931,0.357586207,0.322173913,0.603913043,1.754482759,97.74420552,74.35642857,188.9635714,15.67696786,1.723103448,295,0
HARV,2021/6,42.53691,-72.17265,0.166896552,0.357586207,0.32862069,0.605517241,1.780344828,97.41137552,70.2762069,264.2282759,19.68838276,2.277241379,4281,0
HARV,2021/7,42.53691,-72.17265,0.154,0.353,0.334333333,0.631333333,1.645666667,97.40708767,84.18038462,189.1923333,18.43051,6.808333333,3382,0
HARV,2021/8,42.53691,-72.17265,0.145,0.326666667,0.310666667,0.576,1.566666667,97.65129867,81.95636364,193.2876667,21.04991667,2.945333333,2696,0
HARV,2021/9,42.53691,-72.17265,0.156551724,0.365172414,0.335172414,0.651111111,1.79,97.46227276,81.45172414,166.9906897,12.9581,4.401724138,711,0
HARV,2021/10,42.53691,-72.17265,0.202333333,0.431333333,0.430333333,1.1332,1.787666667,97.33105633,81.73333333,112.462,nan,3.484666667,190,0
SCBI,2018/7,38.892925,-78.139494,0.146333333,0.491333333,0.406666667,1.349666667,1.857666667,97.65055633,71.02,216.1193333,22.86533333,4.613,464,0
SCBI,2018/8,38.892925,-78.139494,0.135333333,0.470333333,0.391666667,1.201,1.620666667,97.58474133,71.94347826,226.4948148,23.2877,4.311,65,0
SCBI,2018/9,38.892925,-78.139494,0.166153846,0.539230769,0.445384615,1.275384615,1.723846154,97.80647769,87.65769231,127.3888462,19.40226538,3.015517241,582,0
SCBI,2020/7,38.892925,-78.139494,0.113666667,0.502333333,0.434333333,1.300666667,1.795,97.39965433,64.45466667,273.7403333,25.40068333,1.014,19,0
SCBI,2020/8,38.892925,-78.139494,0.119655172,0.507586207,0.427241379,1.314137931,1.843103448,97.41381414,74.69034483,205.3475862,22.76773793,2.807,39,0
SCBI,2020/9,38.892925,-78.139494,0.15862069,0.533793103,0.468965517,1.387931034,1.974827586,97.75346552,72.99344828,185.082069,18.10912069,2.085172414,28,0
OSBS,2014/8,29.689289,-81.993431,0.269166667,0.4755,0.75125,0.702916667,1.946666667,100.981696,nan,224.0675,26.32737917,nan,12534,0
OSBS,2014/9,29.689289,-81.993431,0.238965517,0.419655172,0.636896552,0.725862069,1.783793103,101.0410876,nan,170.9027586,24.46748966,nan,12499,0
OSBS,2016/3,29.689289,-81.993431,0.53862069,0.816666667,0.957666667,1.008333333,2.286363636,101.2602723,74.904,199.674,21.40588261,nan,4681,0
OSBS,2016/4,29.689289,-81.993431,0.4675,0.700833333,0.899655172,1.114137931,2.437931034,101.1770445,70.84172414,252.8148276,21.30912414,nan,5614,0
OSBS,2016/5,29.689289,-81.993431,0.564545455,0.654545455,0.938636364,0.984545455,2.175454545,101.0510373,68.01272727,303.5336364,24.47014091,nan,6381,0
OSBS,2016/6,29.689289,-81.993431,0.273103448,0.61137931,0.797931034,0.843793103,1.948275862,101.0435093,77.82206897,255.8872414,27.44438966,nan,7384,0
OSBS,2016/7,29.689289,-81.993431,0.237619048,0.661363636,0.770416667,0.724333333,1.772666667,101.3607548,77.0124,263.6872,28.554816,nan,5806,0
OSBS,2016/8,29.689289,-81.993431,0.232666667,0.631666667,0.756333333,0.861333333,2.241153846,nan,80.26133333,220.777,27.41735,nan,5186,0
OSBS,2016/9,29.689289,-81.993431,0.215517241,0.584137931,0.645263158,0.751724138,1.83,nan,80.97862069,208.0127586,26.29388621,2.26875,4826,0
OSBS,2016/10,29.689289,-81.993431,0.274827586,0.697586207,nan,1.137241379,2.438275862,nan,75.59285714,182.7589655,22.21552069,4.060333333,6686,0
OSBS,2016/11,29.689289,-81.993431,0.225862069,0.583448276,nan,0.878965517,1.966551724,101.3773074,70.12413793,148.702069,18.3751069,2.219310345,2244,0
OSBS,2017/2,29.689289,-81.993431,0.456666667,0.805925926,0.937407407,1.032962963,2.356296296,101.1528181,71.45740741,173.5803704,17.9495,1.948888889,3467,0
OSBS,2017/3,29.689289,-81.993431,0.475,0.83,0.909333333,1.084666667,2.406,101.5515067,63.808,223.6756667,17.75815667,1.731333333,3669,0
OSBS,2017/4,29.689289,-81.993431,0.267931034,0.755517241,0.885517241,1.056206897,2.460344828,101.1138172,64.36241379,260.6386207,21.94874138,3.064827586,1887,0
OSBS,2017/5,29.689289,-81.993431,0.330666667,0.827666667,0.962666667,1.052,2.44,100.8468297,65.87166667,282.4936667,24.44608667,4.405666667,1757,0.019230769
OSBS,2017/6,29.689289,-81.993431,0.254482759,0.587241379,0.684827586,0.797586207,1.807931034,100.9455331,84.31,212.43,24.98446552,7.791034483,7610,0
OSBS,2017/7,29.689289,-81.993431,0.258,0.604333333,0.679,0.714,1.809,101.1260143,81.19433333,237.31,26.51354333,3.745666667,9547,0
OSBS,2017/8,29.689289,-81.993431,0.246,0.58,0.628,0.680909091,1.762962963,101.0938264,83.70066667,208.6106667,26.54122333,0,7977,0
OSBS,2017/9,29.689289,-81.993431,0.311818182,0.696363636,0.776818182,1.265,2.315,100.7637241,79.855,192.1004545,25.60845909,0,8259,0
OSBS,2017/10,29.689289,-81.993431,0.319333333,0.730666667,0.801666667,1.140714286,2.471666667,101.0947357,75.103,184.1403333,22.41818,0,8529,0
OSBS,2017/11,29.689289,-81.993431,0.289310345,0.622068966,0.66137931,1.034482759,2.140689655,101.2007307,79.40655172,145.26,18.21548621,0,5959,0
OSBS,2017/12,29.689289,-81.993431,0.343103448,0.688,0.750666667,0.954,2.108,101.5150933,78.27433333,116.9316667,14.52991,2.708666667,1723,0
OSBS,2018/1,29.689289,-81.993431,1,0.839,0.87,1.237333333,2.416,101.918498,69.529,128.8183333,10.80986667,1.323333333,5021,0
OSBS,2018/2,29.689289,-81.993431,0.48962963,0.785925926,0.828148148,1.04962963,2.2,101.9672874,80.00148148,146.7855556,19.1788037,1.25962963,6057,0
OSBS,2018/3,29.689289,-81.993431,0.592333333,0.956666667,1.044,1.170666667,2.506,101.3511047,58.968,227.6516667,15.98766667,2.356666667,2570,0
OSBS,2018/4,29.689289,-81.993431,0.276551724,0.859310345,0.987931034,1.184137931,2.486111111,101.2440352,72.61034483,243.2844828,19.61328966,7.491724138,3576,0
OSBS,2018/5,29.689289,-81.993431,0.260666667,0.622333333,0.728666667,0.973,nan,101.2457057,78.556,214.8086667,23.30765,5.727666667,3961,0
OSBS,2018/6,29.689289,-81.993431,0.250689655,0.654642857,0.739310345,0.751724138,1.845,101.1861086,81.01482759,249.6510345,25.82216897,3.266206897,3726,0
OSBS,2018/7,29.689289,-81.993431,0.242666667,0.604,0.678,0.725333333,1.789666667,101.243687,83.744,211.8843333,26.21593,2.887666667,4348,0
OSBS,2018/8,29.689289,-81.993431,0.251666667,0.6,0.631333333,0.723333333,1.795333333,101.4453953,81.56866667,231.52,26.3296,3.433666667,4208,0
OSBS,2018/9,29.689289,-81.993431,0.262758621,0.57862069,0.59862069,0.778965517,1.881724138,101.2107621,81.664375,218.0486207,26.73109655,3.538275862,4242,0
OSBS,2018/10,29.689289,-81.993431,0.292,0.637666667,0.688,0.974333333,2.203666667,101.2856213,77.44166667,175.3246667,23.21650333,2.155,5725,0
OSBS,2018/11,29.689289,-81.993431,0.305517241,0.632068966,0.71,0.942413793,1.974827586,101.3793776,80.49413793,121.1751724,17.58682414,3.626206897,1340,0
OSBS,2018/12,29.689289,-81.993431,0.376333333,0.688,0.766666667,0.937666667,2.083333333,101.4265697,79.64933333,106.9693333,14.88166333,7.007333333,983,0
OSBS,2019/1,29.689289,-81.993431,0.507,0.821333333,0.887,1.118333333,2.265,101.4609723,68.775,140.844,12.95967333,4.738,850,0
OSBS,2019/2,29.689289,-81.993431,0.514074074,0.783703704,1.251904762,1.022592593,2.081851852,101.4254915,75.58259259,145.5566667,18.63779259,2.44,2939,0
OSBS,2019/3,29.689289,-81.993431,0.5744,0.8748,0.955,1.243846154,2.413076923,101.4474992,66.08571429,214.1882143,17.367075,2.256,2808,0
OSBS,2019/4,29.689289,-81.993431,0.582068966,0.862413793,0.795625,1.046206897,2.279655172,101.1563156,67.77172414,258.8924138,21.03128621,3.523793103,6887,0
OSBS,2019/5,29.689289,-81.993431,0.249666667,0.76,0.774333333,0.933333333,2.076333333,101.0251493,65.51142857,279.183,25.22215333,3.84,4119,0
OSBS,2019/6,29.689289,-81.993431,0.246206897,0.766206897,0.813793103,0.899310345,2.103103448,101.0348145,76.25208333,235.2672414,26.34756552,5.353448276,4386,0
OSBS,2019/7,29.689289,-81.993431,0.181333333,0.616333333,0.630666667,0.742333333,1.658666667,101.1342987,79.14608696,230.7313333,26.28169333,2.697666667,3919,0
OSBS,2019/8,29.689289,-81.993431,0.190666667,0.657666667,0.657666667,0.772,1.869333333,100.9489203,81.08366667,220.1773333,26.51712,4.23,4543,0
OSBS,2019/9,29.689289,-81.993431,0.208965517,0.755862069,0.735517241,1.11137931,2.356206897,101.0117879,73.05793103,229.932069,26.3476,1.966551724,3927,0
OSBS,2019/10,29.689289,-81.993431,0.213333333,0.684666667,0.689,1.018333333,2.182333333,100.9893227,77.38130435,165.6043333,23.79454,2.326333333,5956,0
OSBS,2019/11,29.689289,-81.993431,0.292758621,0.685862069,0.702068966,1.059655172,2.115862069,101.2139234,76.336,137.4458621,16.50712759,2.354482759,1147,0
OSBS,2019/12,29.689289,-81.993431,0.41,0.818666667,0.877,1.21,2.469666667,101.2095167,79.449,114.378,16.27949,0.152333333,2532,0
OSBS,2020/1,29.689289,-81.993431,0.467666667,0.781333333,0.842666667,1.110666667,2.278333333,101.5530977,73.01433333,130.1493333,15.43827667,1.503666667,326,0
OSBS,2020/2,29.689289,-81.993431,0.551428571,0.906071429,0.969642857,1.152857143,2.451785714,101.4020436,76.38035714,159.2464286,15.73006429,2.514285714,2033,0.041666667
OSBS,2020/3,29.689289,-81.993431,0.5,0.851,0.881333333,0.976666667,2.252333333,101.487791,69.817,220.6903333,21.44407,2.237,3036,0
OSBS,2020/6,29.689289,-81.993431,0.222413793,0.623103448,0.652413793,0.794482759,1.767931034,101.1196041,84.11827586,238.6772414,25.55818276,7.066206897,2107,0
