location,decimalLatitude,decimalLongitude,elevation,total_positive,total_negative,total_rate,date
BART,44.063889,-71.287375,274.0,0,27,0.0,2016-06
BART,44.063889,-71.287375,274.0,0,6,0.0,2016-07
BART,44.063889,-71.287375,274.0,0,6,0.0,2017-05
BART,44.063889,-71.287375,274.0,0,144,0.0,2017-06
BART,44.063889,-71.287375,274.0,0,27,0.0,2017-07
BART,44.063889,-71.287375,274.0,0,18,0.0,2017-08
BART,44.063889,-71.287375,274.0,0,6,0.0,2017-09
BART,44.063889,-71.287375,274.0,0,30,0.0,2018-05
BART,44.063889,-71.287375,274.0,0,72,0.0,2018-06
BART,44.063889,-71.287375,274.0,0,3,0.0,2018-07
BART,44.063889,-71.287375,274.0,0,3,0.0,2018-08
BART,44.063889,-71.287375,274.0,0,3,0.0,2018-09
BART,44.063889,-71.287375,274.0,0,252,0.0,2019-06
BART,44.063889,-71.287375,274.0,0,84,0.0,2019-07
BART,44.063889,-71.287375,274.0,0,27,0.0,2019-08
BART,44.063889,-71.287375,274.0,0,6,0.0,2019-09
BART,44.063889,-71.287375,274.0,0,9,0.0,2021-06
BART,44.063889,-71.287375,274.0,0,6,0.0,2021-07
BART,44.063889,-71.287375,274.0,0,3,0.0,2021-08
BART,44.063889,-71.287375,274.0,0,3,0.0,2021-09
HARV,42.53691,-72.17265,348.1,0,105,0.0,2016-05
HARV,42.53691,-72.17265,348.1,0,102,0.0,2016-06
HARV,42.53691,-72.17265,348.1,0,24,0.0,2016-07
HARV,42.53691,-72.17265,348.1,0,3,0.0,2016-08
HARV,42.53691,-72.17265,348.1,0,33,0.0,2016-09
HARV,42.53691,-72.17265,348.1,0,51,0.0,2017-05
HARV,42.53691,-72.17265,348.1,0,234,0.0,2017-06
HARV,42.53691,-72.17265,348.1,0,48,0.0,2017-07
HARV,42.53691,-72.17265,348.1,0,24,0.0,2017-08
HARV,42.53691,-72.17265,348.1,0,12,0.0,2017-09
HARV,42.53691,-72.17265,348.1,0,3,0.0,2017-10
HARV,42.53691,-72.17265,348.1,0,99,0.0,2018-05
HARV,42.53691,-72.17265,348.1,0,297,0.0,2018-06
HARV,42.53691,-72.17265,348.1,0,396,0.0,2018-07
HARV,42.53691,-72.17265,348.1,0,129,0.0,2018-08
HARV,42.53691,-72.17265,348.1,0,108,0.0,2018-09
HARV,42.53691,-72.17265,348.1,0,6,0.0,2018-10
HARV,42.53691,-72.17265,348.1,0,30,0.0,2019-05
HARV,42.53691,-72.17265,348.1,0,102,0.0,2019-06
HARV,42.53691,-72.17265,348.1,0,51,0.0,2019-07
HARV,42.53691,-72.17265,348.1,0,30,0.0,2019-08
HARV,42.53691,-72.17265,348.1,0,6,0.0,2019-09
HARV,42.53691,-72.17265,348.1,0,33,0.0,2021-06
HARV,42.53691,-72.17265,348.1,0,24,0.0,2021-07
HARV,42.53691,-72.17265,348.1,0,60,0.0,2021-08
HARV,42.53691,-72.17265,348.1,0,36,0.0,2021-09
HARV,42.53691,-72.17265,348.1,0,9,0.0,2021-10
BLAN,39.033698,-78.041788,182.7,0,9,0.0,2015-05
BLAN,39.033698,-78.041788,182.7,1,12,0.07692307692307693,2015-06
BLAN,39.033698,-78.041788,182.7,0,6,0.0,2015-07
BLAN,39.033698,-78.041788,182.7,0,21,0.0,2015-10
BLAN,39.033698,-78.041788,182.7,0,15,0.0,2017-05
BLAN,39.033698,-78.041788,182.7,0,9,0.0,2017-06
BLAN,39.033698,-78.041788,182.7,0,36,0.0,2017-07
BLAN,39.033698,-78.041788,182.7,0,9,0.0,2017-08
BLAN,39.033698,-78.041788,182.7,0,18,0.0,2018-05
BLAN,39.033698,-78.041788,182.7,0,42,0.0,2018-06
BLAN,39.033698,-78.041788,182.7,0,51,0.0,2018-07
BLAN,39.033698,-78.041788,182.7,1,42,0.023255813953488372,2018-08
BLAN,39.033698,-78.041788,182.7,0,15,0.0,2018-09
BLAN,39.033698,-78.041788,182.7,0,138,0.0,2018-10
BLAN,39.033698,-78.041788,182.7,0,3,0.0,2020-07
BLAN,39.033698,-78.041788,182.7,0,3,0.0,2020-08
BLAN,39.033698,-78.041788,182.7,0,3,0.0,2020-09
BLAN,39.033698,-78.041788,182.7,0,15,0.0,2021-10
SCBI,38.892925,-78.139494,352.4,0,27,0.0,2018-07
SCBI,38.892925,-78.139494,352.4,0,3,0.0,2018-08
SCBI,38.892925,-78.139494,352.4,0,21,0.0,2018-09
SCBI,38.892925,-78.139494,352.4,0,3,0.0,2020-07
SCBI,38.892925,-78.139494,352.4,0,6,0.0,2020-08
SCBI,38.892925,-78.139494,352.4,0,3,0.0,2020-09
SERC,38.890131,-76.560014,32.5,0,3,0.0,2015-04
SERC,38.890131,-76.560014,32.5,0,93,0.0,2015-05
SERC,38.890131,-76.560014,32.5,2,79,0.024691358024691357,2015-06
SERC,38.890131,-76.560014,32.5,0,252,0.0,2015-07
SERC,38.890131,-76.560014,32.5,0,180,0.0,2015-08
SERC,38.890131,-76.560014,32.5,0,45,0.0,2015-09
SERC,38.890131,-76.560014,32.5,0,6,0.0,2015-10
SERC,38.890131,-76.560014,32.5,0,15,0.0,2015-11
SERC,38.890131,-76.560014,32.5,0,15,0.0,2016-05
SERC,38.890131,-76.560014,32.5,0,195,0.0,2016-06
SERC,38.890131,-76.560014,32.5,0,135,0.0,2016-07
SERC,38.890131,-76.560014,32.5,0,105,0.0,2016-08
SERC,38.890131,-76.560014,32.5,0,63,0.0,2016-09
SERC,38.890131,-76.560014,32.5,0,18,0.0,2016-10
SERC,38.890131,-76.560014,32.5,0,6,0.0,2017-04
SERC,38.890131,-76.560014,32.5,0,9,0.0,2017-05
SERC,38.890131,-76.560014,32.5,0,90,0.0,2017-06
SERC,38.890131,-76.560014,32.5,0,105,0.0,2017-07
SERC,38.890131,-76.560014,32.5,0,159,0.0,2017-08
SERC,38.890131,-76.560014,32.5,0,63,0.0,2017-09
SERC,38.890131,-76.560014,32.5,0,123,0.0,2017-10
SERC,38.890131,-76.560014,32.5,0,9,0.0,2017-11
SERC,38.890131,-76.560014,32.5,0,78,0.0,2018-05
SERC,38.890131,-76.560014,32.5,0,33,0.0,2018-06
SERC,38.890131,-76.560014,32.5,0,132,0.0,2018-07
SERC,38.890131,-76.560014,32.5,0,72,0.0,2018-08
SERC,38.890131,-76.560014,32.5,0,51,0.0,2018-09
SERC,38.890131,-76.560014,32.5,0,48,0.0,2018-10
SERC,38.890131,-76.560014,32.5,0,6,0.0,2019-04
SERC,38.890131,-76.560014,32.5,0,72,0.0,2019-05
SERC,38.890131,-76.560014,32.5,0,18,0.0,2019-06
SERC,38.890131,-76.560014,32.5,0,27,0.0,2019-07
SERC,38.890131,-76.560014,32.5,0,21,0.0,2019-08
SERC,38.890131,-76.560014,32.5,0,30,0.0,2019-09
SERC,38.890131,-76.560014,32.5,0,6,0.0,2019-10
SERC,38.890131,-76.560014,32.5,0,12,0.0,2019-11
SERC,38.890131,-76.560014,32.5,0,3,0.0,2019-12
SERC,38.890131,-76.560014,32.5,0,9,0.0,2020-10
SERC,38.890131,-76.560014,32.5,0,6,0.0,2020-11
SERC,38.890131,-76.560014,32.5,0,9,0.0,2021-05
SERC,38.890131,-76.560014,32.5,0,36,0.0,2021-06
SERC,38.890131,-76.560014,32.5,0,24,0.0,2021-07
SERC,38.890131,-76.560014,32.5,0,60,0.0,2021-08
SERC,38.890131,-76.560014,32.5,0,60,0.0,2021-09
SERC,38.890131,-76.560014,32.5,0,12,0.0,2021-10
DSNY,28.12505,-81.43619,20.3,0,21,0.0,2016-04
DSNY,28.12505,-81.43619,20.3,0,6,0.0,2016-05
DSNY,28.12505,-81.43619,20.3,0,120,0.0,2016-09
DSNY,28.12505,-81.43619,20.3,0,75,0.0,2016-10
DSNY,28.12505,-81.43619,20.3,0,54,0.0,2016-11
