location,date,decimalLatitude,decimalLongitude,mean_wind_speed_1,mean_wind_speed_5,mean_wind_speed_16,mean_wind_speed_22,mean_wind_speed_30,mean_pres,mean_humid,mean_shortRad,mean_temp,mean_precip
HARV,Oct-14,42.53691,-72.17265,0.213636364,0.506363636,0.589090909,0.933636364,2.314545455,96.82802818,,79.43545455,8.568790909,
HARV,Nov-14,42.53691,-72.17265,0.24,0.547931034,0.779655172,1.239655172,2.324482759,97.21203034,,76.87517241,2.284041379,
HARV,Dec-14,42.53691,-72.17265,0.312333333,0.602666667,0.851333333,1.427777778,2.475666667,97.52423533,,51.82233333,-0.8234,
HARV,Jan-15,42.53691,-72.17265,0.34625,0.671,0.950666667,nan,2.71,97.121468,,68.522,-7.241886667,
HARV,Feb-15,42.53691,-72.17265,nan,0.7,0.984814815,2.76,2.701481481,97.14561667,,113.0733333,-10.63662593,
HARV,Mar-15,42.53691,-72.17265,0.1,0.693666667,0.991,nan,2.772666667,97.298194,,160.6816667,-2.15113,
HARV,Apr-15,42.53691,-72.17265,0.314482759,0.693333333,0.951034483,nan,2.613448276,97.17422966,,184.3851724,6.622189655,
HARV,May-15,42.53691,-72.17265,0.253,0.473043478,0.576,0.84,2.185333333,97.73017167,,267.86,16.10794,
HARV,Jun-15,42.53691,-72.17265,0.165172414,0.36862069,0.35826087,0.6935,1.907586207,97.3186769,nan,241.1803448,16.84021379,
HARV,Jul-15,42.53691,-72.17265,0.121666667,0.344333333,0.288571429,0.534333333,1.706666667,97.17321367,nan,262.3326667,20.34929,
HARV,Aug-15,42.53691,-72.17265,0.124333333,0.331111111,0.28,0.509333333,1.647333333,97.40738233,nan,248.7296667,20.34352333,
HARV,Sep-15,42.53691,-72.17265,0.1332,0.3325,0.24,0.57,1.7375,97.7238112,77.86652174,186.2378261,17.21741364,
HARV,Oct-15,42.53691,-72.17265,0.170666667,0.418666667,nan,0.78,2.058666667,97.65227067,72.913,122.9963333,8.91145,
HARV,Nov-15,42.53691,-72.17265,0.18137931,0.555517241,0.865714286,1.3,2.271724138,97.91775276,71.09689655,82.14068966,6.142988889,
HARV,Dec-15,42.53691,-72.17265,0.231333333,0.531333333,0.777333333,1.02,2.082,97.582329,79.63533333,49.032,5.24319375,
HARV,Jan-16,42.53691,-72.17265,0.324,0.673666667,1.024333333,nan,2.681333333,97.066985,65.76333333,77.43166667,nan,
HARV,Feb-16,42.53691,-72.17265,0.343888889,0.723214286,1.082222222,nan,2.738928571,97.18486214,67.40571429,107.4892857,-2.470842857,
HARV,Mar-16,42.53691,-72.17265,0.307241379,0.686551724,1.018666667,nan,2.525333333,97.33722467,65.20166667,167.6082759,3.318593333,
HARV,Apr-16,42.53691,-72.17265,0.285517241,0.653103448,0.921724138,nan,2.39137931,97.42236862,53.1637931,213.3758621,5.960312,
HARV,May-16,42.53691,-72.17265,0.233666667,0.533333333,0.679666667,nan,2.095,97.26306233,68.298,216.2723333,21.63375714,
HARV,Jun-16,42.53691,-72.17265,0.138965517,0.380344828,0.386470588,nan,2.009310345,97.15945931,66.46482759,274.9189655,17.9915,
HARV,Jul-16,42.53691,-72.17265,0.124333333,0.352,nan,nan,1.764,97.32475833,72.10833333,257.5916667,21.48092,
HARV,Aug-16,42.53691,-72.17265,0.115666667,0.339310345,0.298333333,nan,1.755714286,97.61842483,75.12,235.7977778,21.78630741,
HARV,Sep-16,42.53691,-72.17265,0.145384615,0.371923077,0.343333333,nan,1.82037037,97.8812275,72.37928571,181.4462963,16.83484444,
HARV,Oct-16,42.53691,-72.17265,0.171034483,0.292857143,0.432758621,nan,2.008275862,97.99160222,75.44655172,103.8210345,10.02826897,
HARV,Nov-16,42.53691,-72.17265,0.199655172,0.585555556,0.742758621,nan,2.195517241,nan,70.97206897,79.48137931,6.441135,
HARV,Dec-16,42.53691,-72.17265,0.219,0.602,0.909333333,nan,2.416666667,97.51117875,69.5456,62.37933333,-3.15385,
HARV,Jan-17,42.53691,-72.17265,0.284827586,0.652666667,0.951,nan,2.423,97.18548,74.60033333,63.60333333,-1.970666667,
HARV,Feb-17,42.53691,-72.17265,nan,0.708518519,1.067777778,1.587333333,2.753333333,96.92728074,65.68666667,114.7403704,-0.6743,3.742857143
HARV,Mar-17,42.53691,-72.17265,nan,0.801666667,1.193666667,1.862666667,3.037,97.521596,56.124,157.2616667,-2.537303333,3.732
HARV,Apr-17,42.53691,-72.17265,0.346190476,0.716428571,0.947931034,1.476206897,2.402413793,97.43063759,66.53862069,183.4455172,9.280937931,1.50137931
HARV,May-17,42.53691,-72.17265,0.239666667,0.529666667,0.663,1.152666667,2.765714286,97.06201833,71.28966667,182.8593333,11.47382667,4.68
HARV,Jun-17,42.53691,-72.17265,0.158965517,0.406,0.37,0.752413793,nan,97.18491172,68.5937931,238.5086207,17.87230345,3.625862069
HARV,Jul-17,42.53691,-72.17265,0.126333333,0.345,0.303333333,0.57,nan,97.405674,73.27933333,225.877,19.46485667,1.731666667
HARV,Aug-17,42.53691,-72.17265,0.111,0.332,0.287,0.554,1.623793103,97.63683467,72.214,219.249,18.72284333,2.199333333
HARV,Sep-17,42.53691,-72.17265,0.136551724,0.386896552,0.351034483,0.697586207,1.917931034,97.62938448,75.85551724,163.4892593,17.5266069,2.293103448
HARV,Oct-17,42.53691,-72.17265,0.182857143,0.433,0.424333333,0.798,2.040333333,97.79548667,74.76033333,119.5083333,13.54517333,6.850333333
HARV,Nov-17,42.53691,-72.17265,0.239310345,0.578275862,0.771724138,1.284137931,2.324827586,97.65510862,69.25724138,81.8937931,2.983068966,1.515517241
HARV,Dec-17,42.53691,-72.17265,0.169411765,0.541,0.77,1.267333333,2.151333333,97.363557,71.30633333,57.52466667,-5.107896667,1.981333333
HARV,Jan-18,42.53691,-72.17265,nan,0.696,1.018,1.660333333,2.741,97.69694933,69.84884615,76.326,-5.014436667,3.773333333
